total_score	Grid_score	Transform_accept_ratio	angle_constraint	atom_pair_constraint	chainbreak	classic_grid_X	coordinate_constraint	dihedral_constraint	dslf_ca_dih	dslf_cs_ang	dslf_ss_dih	dslf_ss_dst	fa_atr	fa_dun	fa_elec	fa_pair	fa_rep	fa_sol	hbond_bb_sc	hbond_lr_bb	hbond_sc	hbond_sr_bb	if_X_angle_constraint	if_X_atom_pair_constraint	if_X_chainbreak	if_X_coordinate_constraint	if_X_dihedral_constraint	if_X_dslf_ca_dih	if_X_dslf_cs_ang	if_X_dslf_ss_dih	if_X_dslf_ss_dst	if_X_fa_atr	if_X_fa_dun	if_X_fa_elec	if_X_fa_pair	if_X_fa_rep	if_X_fa_sol	if_X_hbond_bb_sc	if_X_hbond_lr_bb	if_X_hbond_sc	if_X_hbond_sr_bb	if_X_omega	if_X_p_aa_pp	if_X_pro_close	if_X_ref	interface_delta_X	ligand_is_touching_X	omega	p_aa_pp	pro_close	ref	total_score_X	description	iter_id
-121.600	-72.000	0.260	0.000	0.000	0.000	-24.000	0.000	0.000	0.000	0.000	0.000	0.000	-674.406	221.356	-14.755	-10.288	197.367	288.160	-7.952	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.736	0.000	-0.759	0.000	0.253	1.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.918	1.000	8.330	8.973	4.017	-45.990	-24.000	Shc1-PTB_1OY2_0061_trka_0034	trka_4
-133.524	-82.000	0.172	0.000	0.000	0.000	-67.000	0.292	0.000	0.000	0.000	0.000	0.000	-683.370	220.628	-14.409	-10.274	197.028	292.451	-7.957	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-11.819	0.000	-0.380	0.000	0.844	5.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.735	1.000	2.597	7.621	4.271	-45.990	-67.000	Shc1-PTB_1OY2_0061_trka_0035	trka_4
-130.031	-54.000	0.308	0.000	0.000	0.000	-28.000	0.000	0.000	0.000	0.000	0.000	0.000	-677.146	220.795	-14.598	-10.281	197.897	289.096	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.535	0.000	-0.604	0.000	0.479	2.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.407	1.000	2.706	7.614	4.274	-45.990	-28.000	Shc1-PTB_1OY2_0061_trka_0036	trka_4
-128.040	-63.000	0.228	0.000	0.000	0.000	-11.000	0.000	0.000	0.000	0.000	0.000	0.000	-673.823	220.795	-13.913	-10.281	197.522	287.454	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.212	0.000	0.082	0.000	0.104	0.610	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.416	1.000	2.706	7.614	4.274	-45.990	-11.000	Shc1-PTB_1OY2_0061_trka_0037	trka_4
1621.965	-41.000	0.052	0.000	0.000	0.000	-139.000	309.485	0.000	0.000	0.000	0.000	0.000	-803.986	271.980	-11.557	-10.017	1590.589	345.570	-8.994	-34.426	-9.065	-44.731	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-105.772	0.000	-0.307	0.000	813.762	54.218	-2.443	0.000	-0.631	0.000	0.000	0.000	0.000	0.000	758.828	1.000	56.208	9.481	7.419	-45.990	-139.000	Shc1-PTB_1OY2_0061_trka_0038	trka_4
-128.281	-57.000	0.238	0.000	0.000	0.000	-36.000	0.000	0.000	0.000	0.000	0.000	0.000	-677.122	221.043	-13.865	-10.281	197.722	289.843	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.757	0.000	0.177	0.000	0.315	3.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.083	1.000	2.756	7.736	4.274	-45.990	-36.000	Shc1-PTB_1OY2_0061_trka_0039	trka_4
-125.633	-118.000	0.086	0.000	0.000	0.000	-56.000	2.176	0.000	0.000	0.000	0.000	0.000	-685.702	224.750	-13.591	-9.534	198.070	291.566	-6.597	-42.759	-9.855	-45.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-11.428	0.000	0.534	0.000	0.793	4.688	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.412	1.000	7.337	6.164	4.063	-45.990	-56.000	Shc1-PTB_1OY2_0061_trka_0040	trka_4
-125.964	-12.000	0.946	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-671.681	220.795	-14.032	-10.281	197.533	286.843	-7.983	-40.370	-9.919	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.706	7.614	4.274	-45.990	0.000	Shc1-PTB_1OY2_0061_trka_0041	trka_4
1084.906	-53.000	0.054	0.000	0.000	0.000	-135.000	333.659	0.000	0.000	0.000	0.000	0.000	-800.486	262.279	-12.362	-11.380	1010.007	334.733	-8.168	-36.542	-10.597	-47.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-110.480	0.000	0.396	0.000	658.578	43.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	591.515	1.000	99.986	11.809	5.058	-45.990	-135.000	Shc1-PTB_1OY2_0061_trka_0042	trka_4
-126.610	-17.000	0.890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-671.611	220.795	-13.982	-10.281	197.418	286.843	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	2.706	7.614	4.274	-45.990	0.000	Shc1-PTB_1OY2_0061_trka_0043	trka_4
